ID,task,ResponseID,StartDate,EndDate,finished,mturkcode,ATNT_WARN,FEMALE,AGE,ETHNICITY,ETHNICITY_OTHER,MARITAL,EDUC,POLAFFIL,POLAFFIL_OTHER,SES,RELIG,RELIG_OTHER,RELIG_ATTEND,CRIMEVIC,KNOW_CRIMEVIC,AMMSA1,AMMSA2,AMMSA3,AMMSA4,AMMSA5,AMMSA6,AMMSA7,AMMSA8,AMMSA9,AMMSA10,AMMSA11,ASS1,ASS2,ASS3,ASS4,ASS5,ASS6,ASS7,ASS8,ASS9,ASS10,ASS11,SELFMON1,SELFMON2,SELFMON3,PARTY,PARK,HOME,WORK,CLUB,VIC_FEMALE,VIC_MALE,VIC_BLACK,VIC_WHITE,VIC_SINGLE,VIC_MARRIED,VIC_PARTNERS,VIC_NORECORD,VIC_FELONY,PERP_BLACK,PERP_WHITE,PERP_WORKER,PERP_BUSINESS,PERP_ATHLETE,PERP_ACQUAIN,PERP_STRANGER,CHOICE_REPORT,CHOICE_PUNISH,SEVERITY,BLAME_VIC,BLAME_PERP,REPORT,PUNISH,RAPE,ROBBERY,AMMSA_SCORE,ASS_SCORE,SELFMON_SCORE,starttime2,endtime2,DURATION,PERP1_HISPAN,PERP2_HISPAN,CHOSEN,CASE1,LOCATION,OUTFIT,VIC_MARITAL,VIC_SEX,VIC_ETHN,VIC_CRIMINAL,PERP_ETHN,PERP_PROF,PERP_RELATION
1,1,R_3EKMyguCu47ahmj,2016-12-16 10:40:08,2016-12-16 10:44:01,1,33042,1,Female,28,Caucasian,,2,Doctoral Degree,Democrat,,Upper Middle Class,Atheist/Agnostic,,Never,0,2,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,3,3,3,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,5,5,4,1,0,1,,3.5454545,,3,16dec2016 10:40:08,16dec2016 10:44:01,00:03:53,,,0,0,Location: Party,Outfit: Work Attire,Victim: Married,Victim: Female,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
1,2,R_3EKMyguCu47ahmj,2016-12-16 10:40:08,2016-12-16 10:44:01,1,33042,1,Female,28,Caucasian,,2,Doctoral Degree,Democrat,,Upper Middle Class,Atheist/Agnostic,,Never,0,2,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,3,3,3,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,2,,6,3,4,1,0,1,,3.5454545,,3,16dec2016 10:40:08,16dec2016 10:44:01,00:03:53,,,1,0,Location: Park,Outfit:  Night Club,Victim: Multiple Partners,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Athlete,Perpetrator: Acquaintance
1,3,R_3EKMyguCu47ahmj,2016-12-16 10:40:08,2016-12-16 10:44:01,1,33042,1,Female,28,Caucasian,,2,Doctoral Degree,Democrat,,Upper Middle Class,Atheist/Agnostic,,Never,0,2,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,3,3,3,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,2,,5,5,4,1,0,1,,3.5454545,,3,16dec2016 10:40:08,16dec2016 10:44:01,00:03:53,,,1,0,Location: Home,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: White,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Worker,Perpetrator: Acquaintance
1,4,R_3EKMyguCu47ahmj,2016-12-16 10:40:08,2016-12-16 10:44:01,1,33042,1,Female,28,Caucasian,,2,Doctoral Degree,Democrat,,Upper Middle Class,Atheist/Agnostic,,Never,0,2,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,3,3,3,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,,5,5,4,1,0,1,,3.5454545,,3,16dec2016 10:40:08,16dec2016 10:44:01,00:03:53,,,0,0,Location: Park,Outfit:  Night Club,Victim: Multiple Partners,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Athlete,Perpetrator: Acquaintance
1,5,R_3EKMyguCu47ahmj,2016-12-16 10:40:08,2016-12-16 10:44:01,1,33042,1,Female,28,Caucasian,,2,Doctoral Degree,Democrat,,Upper Middle Class,Atheist/Agnostic,,Never,0,2,4,3,4,3,4,3,4,3,4,3,4,,,,,,,,,,,,3,3,3,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,,3,5,5,1,0,1,,3.5454545,,3,16dec2016 10:40:08,16dec2016 10:44:01,00:03:53,,,0,0,Location: Home,Outfit:  Night Club,Victim: Single,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
2,1,R_3lQZWA8P46ac9UM,2016-12-16 11:26:53,2016-12-16 11:30:00,1,84737,1,Female,27,Caucasian,,4,Some College,Democrat,,Working Class,Atheist/Agnostic,,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,,6,1,7,1,0,1,,1,,1,16dec2016 11:26:53,16dec2016 11:30:00,00:03:07,,,0,0,Location: Party,Outfit:  Night Club,Victim: Multiple Partners,Victim: Female,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
2,2,R_3lQZWA8P46ac9UM,2016-12-16 11:26:53,2016-12-16 11:30:00,1,84737,1,Female,27,Caucasian,,4,Some College,Democrat,,Working Class,Atheist/Agnostic,,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,2,,5,1,7,1,0,1,,1,,1,16dec2016 11:26:53,16dec2016 11:30:00,00:03:07,,,1,0,Location: Park,Outfit:  Night Club,Victim: Multiple Partners,Victim: Male,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Worker,Perpetrator: Stranger
2,3,R_3lQZWA8P46ac9UM,2016-12-16 11:26:53,2016-12-16 11:30:00,1,84737,1,Female,27,Caucasian,,4,Some College,Democrat,,Working Class,Atheist/Agnostic,,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,2,,5,1,7,1,0,1,,1,,1,16dec2016 11:26:53,16dec2016 11:30:00,00:03:07,,,1,0,Location: Home,Outfit: Work Attire,Victim: Multiple Partners,Victim: Male,Victim: Black,Victim: minor felony Record,Perpetrator: White,Perpetrator: Worker,Perpetrator: Acquaintance
2,4,R_3lQZWA8P46ac9UM,2016-12-16 11:26:53,2016-12-16 11:30:00,1,84737,1,Female,27,Caucasian,,4,Some College,Democrat,,Working Class,Atheist/Agnostic,,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,2,,5,1,7,1,0,1,,1,,1,16dec2016 11:26:53,16dec2016 11:30:00,00:03:07,,,1,0,Location: Home,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Worker,Perpetrator: Acquaintance
2,5,R_3lQZWA8P46ac9UM,2016-12-16 11:26:53,2016-12-16 11:30:00,1,84737,1,Female,27,Caucasian,,4,Some College,Democrat,,Working Class,Atheist/Agnostic,,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,,5,1,7,1,0,1,,1,,1,16dec2016 11:26:53,16dec2016 11:30:00,00:03:07,,,1,0,Location: Home,Outfit:  Night Club,Victim: Married,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Stranger
